TRAN_DT,TRAN_TMRG,WD_FC_SN,WD_AC_SN,DPS_FC_SN,DPS_AC_SN,TRAN_AMT,MD_TYPE,FND_TYPE,FF_SP_AI
20240608,18,117,3635089377611218,131,2641511666590632,87554,04,12,02
20240624,08,116,7188560219125589,116,3959398961034260,124753,08,03,00
20230725,00,142,4179068569759161,106,3907392069565223,925316,08,20,00
20231020,03,132,5883686066023899,109,2075547125682438,257666,06,20,SP
20240421,08,124,6612667137228180,131,3056037500435272,599090,07,23,SP
20231213,18,149,8213838654509265,132,5883686066023899,887636,01,23,SP
20231022,06,104,9772974813340461,139,6104411488722328,404748,07,16,02
20240628,12,132,5581702284122385,116,7188560219125589,564735,08,21,SP
20230920,15,127,7864968636182412,105,7880024756550908,238958,04,18,00
20240328,06,139,8684955171688932,129,2211424329582496,355059,02,04,SP
20240103,21,123,2856924551718655,111,8029662328486855,4321,01,22,01
20231210,00,111,8029662328486855,120,3045241275118448,621030,07,22,00
20240212,08,130,8060076523102289,149,2917818775264612,835034,02,22,01
20240302,03,107,9865268727231249,111,8029662328486855,170005,06,04,SP
20240228,18,147,4357855895293374,126,9299351075683187,499371,03,14,02
20240504,18,120,8545134004797536,126,9299351075683187,818954,05,19,00
20240115,06,130,5225903400172797,149,8213838654509265,224890,03,28,SP
20240423,15,119,8756948303082603,149,8213838654509265,804909,03,15,02
20240106,12,113,9772751035944285,119,8756948303082603,556865,03,15,SP
20230818,08,132,5883686066023899,119,5521721448489485,953459,06,16,02
20230701,00,141,4921931766284436,119,8756948303082603,609965,03,14,01
20240608,18,132,8119124796721384,149,8213838654509265,959175,04,28,SP
20240604,08,123,2856924551718655,126,9299351075683187,283284,02,22,01
20230922,00,119,4446247873147594,146,7242044296810266,895418,02,20,01
20240416,21,119,3688943220204626,119,8756948303082603,768818,05,28,00
20231122,21,116,7188560219125589,109,2982406314205759,118430,07,25,01
20240427,00,144,6501392117615905,118,1812083696855506,732192,06,17,SP
20231217,06,136,5186971794650858,102,3000947859197623,423544,04,13,00
20230723,06,126,9299351075683187,137,2865431843972284,153533,05,27,00
20240207,21,103,6092122057697577,132,5883686066023899,414637,08,15,01
20231025,18,113,4646099642934939,132,5883686066023899,886689,07,04,01
20230927,15,149,8213838654509265,123,2856924551718655,10190,08,30,02
20230731,00,126,4297564569326003,126,9299351075683187,135385,03,27,SP
20240608,08,130,5225903400172797,107,8417398989107162,619559,06,13,01
20230913,03,119,8756948303082603,150,6649527230202642,528090,07,12,00
20230915,00,149,8213838654509265,110,9099226878081481,624173,01,04,SP
20240103,00,119,8756948303082603,111,8029662328486855,366153,08,21,00
20230803,15,130,5225903400172797,123,2856924551718655,933763,06,19,SP
20240202,08,149,6286123204288102,106,3907392069565223,654758,06,24,01
20231025,18,119,8756948303082603,126,9489646773722681,73211,01,19,02
20230820,21,116,7188560219125589,137,9061247393037381,17957,03,20,01
20240323,15,101,7749336271052520,137,7047423497976110,973373,03,26,02
20230712,18,101,8999073729195893,120,4610067353066308,270126,03,24,02
20231018,21,144,6732116567553179,111,8029662328486855,549663,08,11,SP
20240515,00,111,8029662328486855,130,5225903400172797,766540,02,23,00
20240111,08,138,3914833667670507,138,7036730127244973,268767,06,04,01
20231103,06,126,2931044773467874,123,2856924551718655,339665,08,01,00
20240415,06,101,8999073729195893,130,5225903400172797,411063,04,19,SP
20240131,08,124,9654728248462300,126,5510527750255101,74455,06,04,02
20230809,12,123,2856924551718655,143,1472232446979318,296638,07,03,02
20230823,21,149,8213838654509265,116,1219495231866271,793315,03,18,02
20240423,15,132,5883686066023899,113,2109612351475468,476697,02,28,01
20231010,18,123,2856924551718655,119,1697474570969102,554880,05,18,01
20231201,15,119,8756948303082603,135,9123007611358555,953767,07,22,01
20230718,18,150,5786279515960765,149,9444851812145057,382495,04,20,00
20231212,15,123,2030067677161655,116,8084341025294599,596728,04,18,01
20240430,03,106,3907392069565223,103,5804992039451366,690353,05,14,02
20231015,21,106,3907392069565223,125,6867816291789467,154348,08,18,02
20230901,15,119,8756948303082603,106,3907392069565223,172458,07,24,SP
20231030,03,123,2856924551718655,121,7171482048789993,939959,01,14,02
20240522,08,149,8213838654509265,101,8999073729195893,791395,02,13,01
20240621,06,101,8999073729195893,142,4531778235733788,388565,07,26,02
20240508,12,149,8213838654509265,122,1772069249544968,237232,02,01,02
20231109,18,123,2856924551718655,107,3928710620253061,221835,06,23,00
20240525,00,132,5883686066023899,149,8213838654509265,406705,02,14,02
20240601,21,126,9299351075683187,130,5225903400172797,282326,01,11,01
20240327,21,101,8999073729195893,122,9752469445423110,196168,06,24,00
20230827,18,104,1846231985968055,126,9299351075683187,669962,02,20,02
20240420,15,110,5706825623423036,142,8297596139810970,702831,07,17,00
20240304,21,116,1264210418419758,110,4035387778507064,685982,01,26,01
20240626,21,106,3907392069565223,105,2295871355512129,647636,07,17,02
20240606,12,101,8999073729195893,106,3907392069565223,56842,05,18,00
20230920,06,101,8999073729195893,126,9299351075683187,943458,02,24,02
20231119,15,111,8029662328486855,107,2968323730069018,483964,01,04,01
20231031,15,121,9024115976176595,119,8756948303082603,850606,02,22,SP
20240115,18,115,2367379588512775,113,7015826213414098,131554,02,15,00
20240216,15,116,7188560219125589,132,5883686066023899,218202,04,20,00
20231116,06,101,8999073729195893,132,5883686066023899,652983,01,27,SP
20230829,18,101,9921488849320516,117,7885158518310211,662493,06,13,SP
20240604,08,133,3874473905302564,126,9299351075683187,805744,03,03,01
20240405,00,101,8999073729195893,132,5883686066023899,425723,07,18,01
20230702,18,132,5883686066023899,119,4495834661453394,820200,03,18,00
20240508,21,133,5659156296707496,149,8213838654509265,854897,06,19,00
20240221,03,116,7188560219125589,126,9299351075683187,760522,02,01,01
20231127,00,123,2856924551718655,105,7418330898921083,109855,05,26,01
20240302,00,101,8999073729195893,132,3142202760659550,394068,01,27,02
20231210,12,142,3239873193027512,149,7321957792308259,432127,02,23,02
20231217,21,126,9299351075683187,130,5225903400172797,363757,06,04,02
20240310,06,111,8029662328486855,149,8213838654509265,713638,04,28,00
20230924,12,123,8931738351565548,118,8716221670732659,772175,08,11,02
20240603,08,116,7188560219125589,124,7104712681275750,468113,03,22,02
20231123,18,149,8213838654509265,111,8029662328486855,150265,02,22,02
20230720,08,114,7166077652082322,108,3931885556626402,956672,06,02,02
20240328,08,111,3825646200426062,123,2856924551718655,185114,01,15,02
20240625,18,122,9176776701769439,101,8999073729195893,842566,02,23,01
20240125,00,132,7354522834430162,130,5225903400172797,629738,06,23,01
20230819,12,126,9299351075683187,128,3217912491154270,83322,08,13,02
20230827,18,142,9973947063544024,111,8029662328486855,366778,01,01,00
20240624,12,132,5883686066023899,126,9299351075683187,789112,01,03,00
20231119,08,132,5883686066023899,111,8029662328486855,409269,05,00,SP
