tran_dt,tran_tmrg,wd_fc_sn,wd_ac_sn,dps_fc_sn,dps_ac_sn,tran_amt,md_type,fnd_type,ff_sp_ai
20231031,00,101,3286737222253697,128,2476567490842884,536199,05,22,00
20230729,03,108,4238073680804567,118,8984378957988253,117505,06,12,02
20240512,00,110,3861069323505935,101,3629452638212053,815351,04,00,01
20240307,08,110,8366428272039387,137,6634443197412447,400022,01,23,00
20231215,08,143,5310597579285871,100,1788216230601444,874550,02,20,02
20240128,06,137,6634443197412447,148,8952617543000278,997820,07,22,01
20231031,21,135,4141837712397101,136,4624184896940158,849726,01,00,02
20230823,00,130,1741138668514045,136,1271298105371086,636630,03,14,02
20240701,18,120,9034756588331826,123,3303732254442963,194666,01,11,SP
20240506,18,110,8366428272039387,122,8229111807417529,676845,06,13,00
20240405,15,124,5071333315108571,117,8292045836973791,701335,04,14,01
20240305,18,141,1396420479071741,150,7614477622118024,438903,07,16,02
20231009,15,124,4001063346320271,113,2076963868833343,853811,02,24,00
20240405,15,110,2609336996301408,143,5310597579285871,937724,05,23,00
20240406,00,126,1039092735741952,122,4316889165385034,141536,07,21,00
20240209,21,142,9459456915633202,119,5238908628882137,751148,01,18,SP
20240319,03,145,6369074235323927,100,5753830690236609,909993,08,18,00
20231210,18,146,7736242485242221,127,3095010549765785,80590,01,17,01
20240209,03,100,2041938416709245,106,2782284538993569,316238,08,01,02
20240709,15,132,3970276936448867,117,5580608259058080,210974,02,30,02
20231116,06,142,1466091436675343,127,8883075837606825,341812,08,27,02
20231026,15,115,7389603232982148,126,1039092735741952,187393,03,23,SP
20240706,03,149,3451886731208716,127,8883075837606825,651721,02,30,01
20230807,03,110,8366428272039387,119,4972600400059441,652341,08,25,01
20231212,06,125,6315045508100726,144,7979254426967616,633255,08,02,00
20240422,12,104,7394450666017190,118,4653238772441277,393167,03,04,00
20240317,21,143,5310597579285871,145,1110747867829142,873386,02,16,02
20240511,12,115,7389603232982148,110,8366428272039387,119321,03,18,SP
20240609,00,119,5238908628882137,121,3497980563735267,831954,02,00,01
20240402,21,127,8883075837606825,127,8883075837606825,462176,01,22,01
20231127,15,126,1039092735741952,148,4874144378729579,820038,06,22,SP
20231101,15,110,3419081400824989,110,8366428272039387,88860,07,16,SP
20240115,15,141,3335612708327285,126,8858611919166585,991800,03,22,01
20240429,21,129,6945615721395774,119,5238908628882137,957832,08,11,00
20230729,18,111,9712720214212691,119,5238908628882137,832482,02,11,SP
20231223,00,146,3722582631929025,143,5310597579285871,748616,03,21,01
20240410,00,137,6634443197412447,116,2672945117043097,16053,03,15,SP
20240319,18,147,7950653662552224,120,2249856130776912,676652,01,22,02
20240514,08,146,2619028699559603,140,7266213173245786,389722,02,23,01
20240223,00,140,3745570546593368,137,6634443197412447,825097,03,03,01
20230807,08,147,8485618524601470,143,5866407477094506,458996,02,13,02
20240605,06,115,7389603232982148,135,5444318997566327,775465,04,11,02
20240711,21,114,2648448127781217,102,5422216244196472,321532,08,04,00
20231009,18,137,6634443197412447,122,1416623933442671,952293,03,16,02
20240112,03,108,2380375625416053,139,1200043699888935,69033,03,18,01
20230826,08,104,7394450666017190,110,8366428272039387,946810,01,16,SP
20240610,06,111,2442559806073405,111,6310576471858637,907040,03,04,SP
20230901,08,129,1042597509892007,115,7389603232982148,393872,05,23,00
20240208,15,123,1389129417482573,107,9086470040422795,437745,07,14,01
20230719,06,122,1472062353822210,117,3821720292370892,162455,02,26,SP
20240709,15,126,1039092735741952,115,7389603232982148,124710,06,04,01
20240126,03,145,2307146782938095,137,6634443197412447,658433,04,26,00
20231213,03,116,3158171204219842,132,9254460876086259,726439,01,23,01
20240517,03,104,7394450666017190,119,5238908628882137,297959,06,00,00
20231103,12,110,3419081400824989,119,5238908628882137,939565,07,22,01
20230724,12,126,1039092735741952,119,5238908628882137,36446,02,14,01
20230912,18,131,7049448495796741,143,3748057034471171,534694,01,04,02
20230730,12,136,3444845574557677,114,2648448127781217,492237,02,27,SP
20240606,03,115,7389603232982148,121,7770392804352709,341919,02,04,01
20230829,08,128,3626672772880832,127,8883075837606825,140370,08,04,01
20240708,06,101,3390440411700308,135,5582017762793446,862809,03,11,SP
20240206,15,104,7394450666017190,127,6277362410436995,696420,03,30,00
20240125,00,103,9361977278817112,145,6700096727809377,207033,02,22,SP
20240519,15,139,3290446887070266,126,1039092735741952,364924,01,01,02
20240519,08,134,6518844398666510,114,2648448127781217,669915,05,01,00
20231107,15,119,5238908628882137,114,2648448127781217,740788,07,30,SP
20240315,00,104,9321843905064205,110,3419081400824989,454121,04,21,01
20240422,12,103,8721875004098384,114,2648448127781217,412283,06,03,02
20231201,21,137,6634443197412447,115,7389603232982148,841519,01,19,02
20230804,08,143,5310597579285871,128,1628338579107050,759726,05,16,00
20230809,15,127,8883075837606825,126,1039092735741952,45532,08,22,02
20240214,15,126,1039092735741952,114,2648448127781217,753085,02,21,00
20240128,08,141,5547016833135759,126,1039092735741952,172458,04,21,00
20231107,03,110,3419081400824989,137,5279290147932552,769342,05,00,02
20240119,21,137,6634443197412447,143,5310597579285871,127165,06,25,00
20231006,21,119,5238908628882137,115,7389603232982148,885301,06,17,00
20240601,18,127,8883075837606825,137,6634443197412447,819390,06,16,SP
20240302,12,110,8366428272039387,127,8883075837606825,655065,05,30,00
20230722,21,141,7482189997919749,104,7394450666017190,477698,05,11,02
20240526,08,133,2108210425587873,146,3476370245224089,663138,01,11,01
20230924,00,104,7394450666017190,134,4196148923211546,514670,07,28,02
20231103,00,142,3072969831354277,100,6436539260276507,609188,04,18,00
20231204,21,110,8366428272039387,104,7394450666017190,31904,05,02,00
20240711,21,125,2467952724598013,110,8366428272039387,533606,03,02,02
