TRAN_DT,TRAN_TMRG,WD_FC_SN,WD_AC_SN,DPS_FC_SN,DPS_AC_SN,TRAN_AMT,MD_TYPE,FND_TYPE,FF_SP_AI,WD_NODE,DPS_NODE,WD_NODE_CENTRALITY,DPS_NODE_CENTRALITY
20231060,18,291,1610878237888565,314,1183600165625411,769505,6,22,02,291-1610878237888565,314-1183600165625411,0.05011105698135209,0.049846496251024074
20231135,3,119,6205428985375520,275,1561288241932104,816154,1,18,00,119-6205428985375520,275-1561288241932104,9.968201437414648e-06,0.05089763653943919
20231290,12,100,8829177419457802,273,5312262154537695,987242,2,3,00,100-8829177419457802,273-5312262154537695,9.968201437414648e-06,0.050842634082632066
20240433,21,918,3947945265203444,636,9686827151339582,410074,6,23,01,918-3947945265203444,636-9686827151339582,0.050551293816735524,0.0002370691480382023
20240148,6,275,5285249609142879,914,4196105830579798,159663,1,22,02,275-5285249609142879,914-4196105830579798,0.04973347598480821,0.05084990296807994
20240292,3,310,6598152718052167,881,2010189140003924,805366,7,4,SP,310-6598152718052167,881-2010189140003924,0.04908374770828862,5.8572718434518956e-05
20240453,18,869,7271956176773054,918,4168800950136599,612099,1,14,SP,869-7271956176773054,918-4168800950136599,0.0002511593912348054,0.05080765168982119
20240321,8,907,5653518395257284,381,5878395131999267,367759,6,26,SP,907-5653518395257284,381-5878395131999267,9.968201437414648e-06,9.968201437414648e-06
20231105,21,317,2861717798498568,280,5267148207684288,615643,1,20,01,317-2861717798498568,280-5267148207684288,0.049926586417083155,0.049746861676517075
20240337,8,300,5416209064014811,319,6637311943398909,105346,5,4,00,300-5416209064014811,319-6637311943398909,9.968201437414648e-06,0.0498498121448204
20240577,18,501,9569432944329922,824,4592261680349834,871930,4,1,02,501-9569432944329922,824-4592261680349834,0.04965257397381306,0.00015734588891462797
20240306,8,978,3364429057289282,905,3076481315668886,835708,6,16,SP,978-3364429057289282,905-3076481315668886,0.05089763653943919,9.968201437414648e-06
20240047,12,279,6098823064567538,258,6216853331812854,729983,1,17,SP,279-6098823064567538,258-6216853331812854,0.04992122550466036,0.05040348239922959
