tran_dt,tran_tmng,wd_fc_sn,wd_ac_sn,dps_fc_sn,dps_ac_sn,tran_amt,md_type,fnd_type,ff_sp_ai,WD_NODE,DPS_NODE
2023-03-15,12,166,2000000001163335,153,2000000001356988,1078786.0,7,0,,sdv-pii-sdh5j,136-2000000000141101
2023-03-15,18,165,2000000001440860,165,2000000001346060,1.0,2,0,,sdv-pii-fmo8h,159-2000000000736969
2023-03-15,15,161,2000000001986325,153,2000000001384004,300164.0,2,0,,sdv-pii-n9ue6,153-2000000001356992
2023-03-22,18,108,2000000002032238,165,2000000002076997,8545551.0,1,0,,sdv-pii-dqs1n,133-2000000001402836
2023-03-20,18,148,2000000001595453,160,2000000000536498,7820629.0,4,0,,sdv-pii-l8o36,165-2000000001532677
2023-03-13,21,165,2000000000521954,161,2000000000711711,89364.0,2,0,,sdv-pii-oeraj,148-2000000000777281
2023-03-14,9,148,2000000002023706,165,2000000001157385,1.0,2,0,,sdv-pii-2n7bg,135-2000000001435053
2023-03-19,12,136,2000000001979291,165,2000000002050795,36201.0,4,0,,sdv-pii-i9j1w,135-2000000000528696
2023-03-07,18,165,2000000001945786,160,2000000001871694,274457.0,2,0,,sdv-pii-n5sd4,153-2000000001200302
2023-03-09,6,135,2000000001979656,135,2000000000164362,984530.0,7,1,,sdv-pii-sthpk,159-2000000001184004
2023-03-14,6,165,2000000000185919,153,2000000001875962,96226.0,2,0,,sdv-pii-j91dh,159-2000000000699987
2023-03-13,18,147,2000000002027289,161,2000000001048349,1876844.0,4,0,,sdv-pii-a5xwc,166-2000000001275858
2023-03-15,18,135,2000000000155097,160,2000000000547616,85984.0,2,0,,sdv-pii-f68vc,147-2000000001890605
2023-03-15,21,165,2000000001090096,165,2000000002110820,350859.0,2,0,,sdv-pii-azada,166-2000000001144609
2023-03-20,21,160,2000000001956742,136,2000000001974836,1.0,2,0,,sdv-pii-aj0l3,161-2000000002089685
2023-03-09,6,135,2000000001171412,160,2000000000530222,92156.0,7,4,,sdv-pii-cyz6u,159-2000000001690318
2023-03-25,6,160,2000000001777429,165,2000000000749456,91141.0,2,0,,sdv-pii-74zk5,136-2000000001219196
2023-03-24,6,147,2000000000115124,160,2000000000807646,1.0,7,4,,sdv-pii-73x4j,154-2000000001385913
2023-03-21,12,160,2000000001760534,165,2000000001364026,58328.0,3,0,,sdv-pii-y8xo8,153-2000000001356992
2023-03-14,18,165,2000000001741474,153,2000000001934136,7270083.0,2,0,,sdv-pii-46vvn,165-2000000000584319
2023-03-22,9,135,2000000001794526,119,2000000000406918,1789514.0,4,0,SP,sdv-pii-bm477,153-2000000001643116
2023-03-03,3,135,2000000000197816,153,2000000000402169,97147.0,7,0,,sdv-pii-h21s2,160-2000000000634921
2023-03-10,12,159,2000000001461777,153,2000000000620786,7703368.0,7,1,,sdv-pii-iqnes,160-2000000001081175
2023-03-15,12,135,2000000000129904,161,2000000001921468,81615.0,7,4,SP,sdv-pii-in86y,165-2000000001532677
2023-03-09,18,149,2000000000042551,136,2000000002113577,2495380.0,2,0,01,sdv-pii-3xpfd,136-2000000001256958
2023-03-25,18,159,2000000000089965,160,2000000000512237,241034.0,2,0,,sdv-pii-9uoyk,166-2000000001144609
2023-03-20,0,159,2000000002003741,160,2000000001882112,942340.0,4,0,01,sdv-pii-cn6mw,117-2000000000597104
2023-03-05,9,149,2000000000057483,161,2000000000602286,10063.0,4,0,,sdv-pii-92w5n,153-2000000002088300
2023-03-05,21,161,2000000001729578,134,2000000001898676,9344896.0,2,0,,sdv-pii-y74ov,165-2000000000584319
2023-03-07,18,161,2000000001075628,161,2000000001889904,8632.0,5,0,,sdv-pii-7jc74,122-2000000001640794
2023-03-11,15,148,2000000000145639,137,2000000000728212,206169.0,4,0,,sdv-pii-8wqac,166-2000000001391903
2023-03-13,9,161,2000000001802725,136,2000000002109196,8427423.0,4,0,01,sdv-pii-5pyy6,165-2000000000305332
2023-03-13,12,149,2000000000262213,136,2000000000235423,364237.0,4,0,02,sdv-pii-kh794,133-2000000001140851
2023-03-06,18,148,2000000000307248,160,2000000001861399,72741.0,2,0,,sdv-pii-myf30,133-2000000000963469
2023-03-07,18,148,2000000000152176,135,2000000001789259,73535.0,4,0,02,sdv-pii-5l31g,147-2000000001473822
2023-03-24,15,135,2000000001190744,153,2000000000406070,8968.0,4,0,,sdv-pii-neukn,133-2000000001654113
2023-03-13,12,134,2000000001925256,165,2000000001048412,78750.0,5,0,,sdv-pii-9v9d6,159-2000000001690318
2023-03-16,12,135,2000000000854505,161,2000000001073900,1026979.0,7,0,,sdv-pii-tgkdw,165-2000000000290143
2023-03-09,9,134,2000000001420023,160,2000000000996116,1.0,7,0,,sdv-pii-0tajf,160-2000000001424241
2023-03-24,18,161,2000000001993070,134,2000000001028820,1.0,2,0,,sdv-pii-w2vg4,165-2000000000972648
2023-03-08,3,135,2000000001467766,136,2000000000307430,15265.0,4,0,,sdv-pii-rpy40,135-2000000000528696
2023-03-23,12,148,2000000000193586,165,2000000000306170,76015.0,4,0,,sdv-pii-cn7jy,159-2000000000351929
2023-03-14,9,149,2000000001480160,135,2000000000666795,9396102.0,6,0,02,sdv-pii-iujn2,165-2000000001316591
2023-03-20,6,165,2000000001155971,159,2000000000446882,77793.0,7,3,,sdv-pii-rvffv,159-2000000000668650
2023-03-01,3,160,2000000000110948,135,2000000001891822,15375.0,2,0,,sdv-pii-dnsby,135-2000000000528696
2023-03-06,18,136,2000000000180615,166,2000000001871237,61227025.0,4,0,02,sdv-pii-jopqa,160-2000000000255193
2023-03-15,12,165,2000000001863902,135,2000000002071550,14187.0,7,0,,sdv-pii-glmtj,135-2000000000528696
2023-03-23,15,136,2000000001447494,135,2000000000093407,810607.0,4,0,,sdv-pii-96x2s,133-2000000000067738
2023-03-02,0,137,2000000002062348,135,2000000002068932,440980.0,4,3,,sdv-pii-q4gnk,165-2000000001130420
2023-03-08,12,148,2000000000109692,135,2000000000402616,1803229.0,4,0,02,sdv-pii-8ck64,159-2000000000817131
2023-03-14,12,157,2000000001838502,135,2000000001770595,92007.0,3,0,,sdv-pii-k9ehj,161-2000000000570202
2023-03-09,18,134,2000000000876710,161,2000000000664045,90781.0,7,0,,sdv-pii-drhnk,160-2000000000653077
2023-03-12,12,136,2000000000030716,148,2000000000270644,894917.0,4,0,,sdv-pii-qcgq1,153-2000000002091380
2023-03-12,6,148,2000000000629955,136,2000000000947309,14624.0,2,0,,sdv-pii-4dk91,161-2000000000778382
2023-03-21,12,165,2000000001820424,134,2000000001236027,1.0,4,0,02,sdv-pii-31ri4,154-2000000000448984
2023-03-13,18,136,2000000001215751,165,2000000001029381,240440.0,4,0,02,sdv-pii-av08r,153-2000000000389896
2023-03-09,18,165,2000000001801930,165,2000000000512038,95998.0,5,0,,sdv-pii-ulk0x,160-2000000001754083
